"2";"Katedra matematiky";"";"KM";"5";"1"
"3";"Katedra fyziky";"";"KF";"5";"1"
"4";"Katedra mechan. a strojnic.";"";"KMS";"5";"1"
"5";"Katedra materiálu a strojírenské technologie";"";"KMST";"5";"1"
"6";"Katedra vozidel a pozemní dopravy";"";"KVPD";"5";"1"
"7";"Katedra zeměděl. strojů";"";"KZS";"5";"1"
"8";"Katedra využit. strojů";"";"KVS";"5";"1"
"9";"Katedra jakosti a spol. strojů";"";"KJSS";"5";"1"
"10";"Katedra elektrot. a automat.";"";"KEA";"5";"1"
"11";"Katedra tech. zař. staveb";"";"KTZS";"5";"1"
"13";"Katedra zemědělské ekonomiky";"Department of Agricultural Economics";"KZE";"4";"1"
"14";"Katedra ekonomických teorií";"Department of Economic Theories";"KET";"4";"1"
"15";"Katedra řízení";"Department of Management";"KR";"4";"1"
"16";"Katedra informačních technologií";"Department of Information Technologies";"KIT";"4";"1"
"17";"Katedra operační a systémové analýzy";"Department of Operational and System Analysis";"KOSA";"4";"1"
"18";"Katedra práva";"Department of Law";"KPr";"4";"1"
"19";"Katedra humanitních věd";"Department of Humanities";"KHV";"4";"1"
"20";"Katedra obchodu a financí";"Department of Trade and Accounting";"KOF";"4";"1"
"21";"Katedra psychologie";"Department of Psychology";"KPs";"4";"1"
"23";"Katedra statistiky";"Department of Statistics";"KS";"4";"1"
"24";"Katedra jazyků";"Department of Languages";"KJ";"4";"1"
"25";"Katedra informačního inženýrství";"Department of Information Engineering";"KII";"4";"1"
"26";"Katedra botaniky a fyziologie rostlin";"Department of Botany and Plant Physiology";"KBFR";"1";"1"
"27";"Katedra pedologie a geologie";"Department of Soil Science and Geology";"KPG";"1";"1"
"28";"Katedra agroekologie a biometeorologie 
";"Department of Agroecology and  Biometeorology";"KAB";"1";"1"
"29";"Katedra rostlinné výroby";"Department of Crop Production";"KRV";"1";"1"
"30";"Katedra ochrany rostlin";"Department of Crop Protection";"KOR";"1";"1"
"34";"Katedra veterinárních  disciplin";"Department of Veterinary Sciences";"KVD";"1";"1"
"35";"Katedra pícninářství a trávníkářství";"Department of Forage Crops and Grassland Management";"KPT";"1";"1"
"36";"Katedra zoologie a rybářství";"Department of Zoology and Fish Farming";"KZR";"1";"1"
"39";"Katedra chemie";"Department of Chemistry";"KCh";"1";"1"
"40";"Katedra agrochemie a výživy rostlin";"Department of Agrochemistry and Plant Nutrition";"KAVR";"1";"1"
"41";"Katedra zahradnictví a krajinářské architektury";"Department of Horticulture and Landscape Architecture";"KZKA";"1";"1"
"42";"Katedra genetiky a šlechtění";"Department of Genetics and Breeding";"KGŠ";"1";"1"
"44";"Katedra mikrobiologie, výživy a dietetiky";"Department of Microbiology, Nutrition and Dietetics";"KMVD";"1";"1"
"45";"Katedra ekologie a životního prostředí";"";"KEZP";"3";"1"
"46";"Katedra dendr. a šl. les. dř.";"";"KDSLD";"3";"1"
"47";"Katedra hospod. úpravy lesů";"";"KHUL";"3";"1"
"48";"Katedra lesní těžby";"";"KLT";"3";"1"
"49";"Katedra vodn. hosp.";"";"KVH";"3";"1"
"50";"Katedra biotechn. úpr. kraj.";"";"KBUK";"3";"1"
"51";"Katedra staveb";"";"KStav";"3";"1"
"53";"Katedra pěstování lesů";"";"KPL";"3";"1"
"54";"Katedra ochrany lesa a myslivosti";"";"KOL";"3";"1"
"55";"Katedra ekonom. a říz. les. hosp.";"";"KERLH";"3";"1"
"56";"Katedra tělesné výchovy";"";"KTV";"6";"1"
"57";"Katedra pedagogiky";"Department of Education";"KPe";"6";"1"
"58";"Katedra živ.prod.tr. a subt.";"";"KZPTS";"2";"1"
"59";"Katedra inženýrství, ekonomiky a rozvoje venkova tropů a subtropů";"";"KIERVTS";"2";"1"
"61";"Katedra trop. a subtr. plodin";"";"KTSP";"2";"1"
"63";"Ústav aplikované ekologie";"";"UAE";"3";"1"
"98";"Katedra zpracování dřeva";"";"KZD";"3";"1"
"101";"Katedra kvality zemědělských produktů";"Department of Quality of Agricultural Products";"KKZP";"1";"1"
"104";"Katedra speciální zootechniky";"Department of";"KSZ";"1";"1"
