"10";"1355";"Školský management";"Univerzita Karlova";"Pedagogická fakulta";"true";"PhDr. Lenka Slavíková, Ph.D.";"2003-11-24 00:00:00.0"
"11";"1358";"Mezinárodní účetnictví";"Vysoká škola ekonomická";"Financí a účetnictví";"true";"Ing. Lenka Krupová, Ph.D., Doc.Ing.Marie Míková, CSc.";"2003-02-21 00:00:00.0"
"13";"1362";"Regionální politika v EU a ČR";"VŠE";"*";"true";"Doc.RNDr.René Wokoun,CSc.";"2004-04-26 00:00:00.0"
"14";"1355";"Školský management";"Univerzita Kralova";"Pedagogická fakulta";"true";"PhDr. Lenka Slavíková, Ph.D.";"2004-11-24 00:00:00.0"
"16";"1380";"Neurčitost v umělé inteligenci";"VŠE";"Fakulta managementu";"true";"Prof. Radim Jiroušek, DrSc.";"2004-06-25 00:00:00.0"
"17";"1377";"drbal - objektová analýza a návrh";"VŠE";"-";"true";"Pavel Drbal";"2004-06-03 00:00:00.0"
"18";"1635";"Objektové programování - .NET";"ČVUT";"Stavební fakulta";"true";"RNDr. Milan Pultan, CSc.";"2005-01-06 00:00:00.0"
"19";"1665";"Objektové programování - .NET";"ČVUT";"Fakulta stavební";"true";"RNDr. Milan Pultan, CSc.";"2005-01-06 00:00:00.0"
"20";"1715";"101OBJ - Objektové programování - .NET";"ČVUT";"Stavební fakulta";"true";"";"2005-01-06 00:00:00.0"
"21";"1377";"Molhanec - Software v průmyslovém inženýrství";"ČVUT";"Elektrotechnická";"true";"Ing, Martin Molhanec, CSc.";"2005-01-26 00:00:00.0"
"23";"1741";"languages for Artificial Intelligence";"Czech Technical University in Prague";"of Electrical Engineering";"true";"";"2005-03-07 00:00:00.0"
