"idClovek";"login_NDS";"idFormaStudia"
"3833";"kures";"2"
"3851";"astatike";"1"
"2004";"Holec";"2"
"3849";"kott";"2"
"3816";"stepanek";"2"
"3837";"tepla";"2"
"2044";"Kocourkova";"2"
"1984";"Sedlak";"2"
"3194";"chmelikova";"1"
"3782";"wagenknecht";"1"
"2081";"Jeseta";"2"
"3825";"stastnyj";"2"
"3844";"havlickova";"2"
"3824";"roubal";"2"
"3781";"kadlecovam";"2"
"3850";"weber";"2"
"3809";"svobodajiri";"2"
"3810";"vosta";"2"
"3808";"krejzarova";"2"
"3549";"hassan";"1"
"3595";"bukac";"1"
"3315";"anh";"1"
"2847";"cerovska";"1"
"3280";"dlouha";"1"
"2895";"dudjak";"1"
"2898";"fedjuk";"1"
"2938";"fischerova";"1"
"3792";"zetkova";"2"
"2043";"Hlavickova";"1"
"3594";"kolarsky";"1"
"3362";"krivanekj";"1"
"2945";"kulhanek";"1"
"3673";"marek";"1"
"3162";"mateju";"1"
"3441";"mazakova";"1"
"2851";"novakovak";"1"
"3784";"pachova";"1"
"2904";"penizek";"1"
"2936";"rohoskova";"1"
"2017";"Jindra";"2"
"3820";"bizova";"2"
"3821";"koren";"2"
"2066";"micakova";"2"
"3822";"lednicka";"2"
"2949";"sichorova";"1"
"3189";"svestkova";"1"
"3601";"vadlejch";"1"
"2852";"venclova";"1"
"3279";"zita";"1"
"3635";"rihak";"1"
"3823";"vlkr";"2"
"3047";"JitkaSladkova";"1"
"3813";"popperl";"2"
"1804";"SvobodovaI";"2"
"3193";"buresova";"1"
"3213";"brdickova";"1"
"3088";"dvorakp";"1"
"3273";"hubeny";"1"
"3541";"hyblova";"1"
"3636";"klenova";"1"
"2944";"korinek";"2"
"3359";"krejcirova";"1"
"3361";"kudrnat";"1"
"3192";"kuthanova";"1"
"3804";"malakova";"1"
"3190";"musiloval";"1"
"3537";"nadova";"1"
"3277";"okrouhla";"1"
"3405";"parilova";"1"
"3559";"pazourkova";"1"
"3604";"petrtyl";"1"
"2998";"plachy";"1"
"2901";"pronek";"1"
"3785";"rudolfova";"1"
"3853";"soldat";"1"
"3381";"stuchlikova";"1"
"3842";"SvetlikovaM";"1"
"3380";"safrankovai";"1"
"3278";"simane";"1"
"3446";"trcova";"2"
"2996";"trojanova";"1"
"2907";"vaneka";"1"
"3629";"vostry";"1"
"1983";"Melounova";"2"
"3817";"chadova";"2"
"3803";"kneifelova";"2"
"3847";"lenska";"2"
"3848";"lytvynets";"2"
"3778";"machova";"2"
"3854";"nemeca";"2"
"3793";"soumar";"2"
"3830";"szebestova";"2"
"3852";"sztankoova";"2"
"3819";"vlasakova";"2"
"3856";"bartunkova";"1"
"3036";"Bogdadi";"2"
"3796";"homa";"2"
"3401";"MaxaJ";"1"
"3806";"doudao";"2"
"3807";"sirlova";"2"
"3772";"berka";"2"
"3773";"bohdanecka";"2"
"3794";"dvorakvladimir";"2"
"3838";"frydrychova";"2"
"1978";"Hofmanova";"2"
"3846";"horky";"2"
"3775";"kotti";"2"
"2853";"kutnerova";"2"
"3827";"likar";"2"
"3777";"matyskova";"2"
"3776";"pisanova";"2"
"3839";"rehakd";"2"
"3787";"stibal";"2"
"2037";"Spongrova";"2"
"3801";"vojackova";"2"
"3802";"zlatohlavek";"2"
"3771";"amerlingova";"1"
"3086";"bicanova";"1"
"2908";"casova";"1"
"3774";"dokoupilova";"1"
"3383";"duskovas";"1"
"3358";"dvorako";"1"
"3826";"dvorakovaj";"1"
"2939";"Habart";"1"
"2940";"habaskova";"1"
"2999";"hefferova";"1"
"3795";"herda";"1"
"2840";"holik";"1"
"3814";"honsovad";"1"
"2941";"javorska";"1"
"2997";"jurkovsky";"1"
"3283";"klaudisova";"1"
"3975";"kocourkovaz";"1"
"3789";"kohutova";"1"
"2943";"komarek";"1"
"3788";"kracikova";"1"
"2899";"kroutilm";"1"
"3360";"krovacek";"1"
"2848";"landovam";"1"
"3382";"martinkova";"1"
"3001";"matiska";"1"
"3843";"miovska";"1"
"2849";"namestek";"1"
"3286";"ninaj";"1"
"3799";"remesova";"1"
"2946";"richtrova";"1"
"3815";"sobotova";"1"
"3000";"steinbachova";"1"
"3841";"strnadel";"1"
"2905";"vasat";"1"
"3363";"vildova";"1"
"3786";"vlastnikova";"1"
"2896";"dytrtova";"1"
"3811";"kudlikova";"2"
