"idClovek";"login_NDS";"idFormaStudia"
"2630";"dolezal";"1"
"3864";"ertnerova";"2"
"3039";"charvatova";"1"
"3932";"jurecek";"2"
"3252";"kopacka";"1"
"3891";"krald";"2"
"2625";"lorenc";"1"
"2633";"macek";"1"
"2920";"MAULEOVA";"1"
"3050";"pittnerova";"1"
"3872";"tusek";"1"
"3885";"brejskova";"2"
"2624";"drdakova";"1"
"3173";"bilek";"1"
"2913";"cernajitka";"1"
"2914";"douda";"1"
"3617";"";"1"
"2634";"goubej";"1"
"3887";"hajek";"1"
"3003";"horalekv";"1"
"3928";"kahuda";"2"
"3767";"koubam";"1"
"3755";"macekv";"1"
"3862";"malova";"2"
"3889";"musild";"1"
"3752";"nakladal";"1"
"3770";"novakovap";"1"
"3042";"novotnaj";"1"
"3447";"racek";"1"
"3863";"ruzickova";"1"
"3888";"lehnerova";"2"
"3250";"spratkova";"1"
"3918";"struhal";"1"
"3922";"svobodovaiva";"1"
"2921";"SKODA";"1"
"2985";"solc";"1"
"3923";"sulcovae";"1"
"3249";"ventrubova";"1"
"3931";"bohm";"1"
"3904";"czernin";"2"
"3869";"hanus";"2"
"2260";"Klouda";"2"
"3905";"kozub";"2"
"3929";"masova";"2"
"3897";"michna";"2"
"3870";"novotnyp";"2"
"3876";"routa";"2"
"3898";"stranskyp";"2"
"3900";"svobodajan";"2"
"3919";"spulak";"2"
"3861";"winterova";"2"
"3907";"zizka";"2"
"3899";"stranskyv";"2"
"3927";"cernikova";"2"
"2660";"bretova";"2"
"3884";"svitakova";"2"
"3906";"simaj";"2"
"3896";"kratochvilj";"2"
"1823";"bohacek";"2"
"3877";"chaloupka";"2"
"3879";"krizlubomir";"2"
"3008";"dleskova";"1"
"3041";"esterka";"1"
"3878";"guth";"2"
"3858";"hladikj";"2"
"3006";"kubinova";"1"
"3859";"novotnyt";"2"
"2915";"ESNEROVA";"1"
"2918";"JOZA";"1"
"3866";"prknova";"2"
"3867";"rykovsky";"2"
"3740";"hockeova";"1"
"3881";"kloubec";"2"
"3742";"kochankova";"1"
"3882";"mokry";"2"
"3110";"musilovaradka";"1"
"3434";"podskalska";"1"
"3902";"prcina";"2"
"3053";"novotnaa";"1"
"3044";"novotnyvoj";"1"
"3910";"cernyd";"2"
"3911";"hatlapatkova";"1"
"3912";"kubat";"2"
"3913";"leugner";"2"
"3914";"novotnyr";"2"
"3915";"skrziszowski";"2"
"3916";"sladkovaludmila";"1"
"3917";"tresnak";"1"
"3873";"hrdina";"2"
"2268";"Kasparova";"2"
"3892";"klimaj";"2"
"3893";"komarekm";"2"
"3930";"komarkovav";"2"
"3894";"slanina";"1"
"2833";"vanis";"1"
"3926";"sovina";"2"
"2919";"KRAUSOVA";"1"
"3874";"pejterova";"1"
"3007";"engstova";"1"
"3925";"redinova";"1"
"3934";"andelova";"2"
"3009";"tuhackova";"1"
