"id";"SIDENT"
"5539";"63138"
"5540";"63101"
"5541";"63125"
"5542";"63114"
"5543";"63100"
"5544";"63102"
"5545";"63097"
"5546";"63133"
"5547";"63117"
"5548";"63150"
"5549";"63143"
"5550";"63140"
"5551";"63105"
"5552";"63147"
"5553";"63115"
"5554";"63144"
"5555";"63131"
"5556";"63120"
"5557";"63111"
"5558";"63142"
"5559";"63121"
"5560";"63096"
"5561";"63127"
"5341";"63099"
"5563";"63103"
"5564";"63139"
"4361";"63149"
"5565";"63108"
"5566";"63129"
"5567";"63141"
"5568";"63098"
"1950";"63145"
"5569";"63110"
"5570";"63106"
"5354";"63137"
"5571";"63113"
"5572";"63123"
"5573";"63116"
"5574";"63122"
"5575";"63112"
"5576";"63128"
"5577";"63107"
"5578";"63146"
"5579";"63109"
"5580";"63118"
"5581";"63148"
"5582";"63130"
"5583";"63134"
"5584";"63126"
"5585";"63104"
"5586";"63136"
"5587";"63124"
"5588";"63132"
"5538";"63135"
"5604";"65635"
"5605";"65642"
"5606";"65615"
"5607";"66243"
"5608";"65609"
"5609";"65629"
"5610";"66244"
"5611";"65610"
"5612";"65638"
"5613";"65644"
"5614";"65626"
"5615";"65616"
"5616";"65636"
"5617";"65614"
"5618";"65649"
"5619";"65637"
"5620";"65633"
"5622";"65624"
"5624";"65640"
"5625";"65618"
"5626";"65628"
"5627";"65651"
"5628";"65627"
"5629";"65623"
"5630";"65652"
"5631";"65650"
"5632";"65639"
"5633";"65646"
"5634";"65620"
"5636";"65643"
"226";"65631"
"5637";"65647"
"5638";"63109"
"5639";"65612"
"5640";"65630"
"5641";"65641"
"5642";"65607"
"5643";"65625"
"2353";"65645"
"5644";"65606"
"5662";"65276"
"5663";"65254"
"5664";"65275"
"5665";"65249"
"5666";"65274"
"5667";"65279"
"5668";"65324"
"5669";"65280"
"5670";"65326"
"1419";"65327"
"5048";"65320"
"5660";"65323"
"5661";"65325"
"5658";"65081"
"5409";"65920"
"5410";"65776"
"5411";"65759"
"5412";"65742"
"5413";"65755"
"5414";"65751"
"5415";"65779"
"5416";"65775"
"5417";"65766"
"5418";"65748"
"5419";"65737"
"5420";"65760"
"5421";"65738"
"5422";"65736"
"5423";"65762"
"5424";"65730"
"5425";"65728"
"5426";"65764"
"5427";"65745"
"5428";"65919"
"5429";"65768"
"5430";"65744"
"5431";"65740"
"5432";"65769"
"5433";"65771"
"2817";"65746"
"5435";"65767"
"5436";"65752"
"5437";"65753"
"5438";"65731"
"5439";"65727"
"5440";"65743"
"5441";"65773"
"5442";"65761"
"5443";"65777"
"5444";"65758"
"5445";"65729"
"5446";"65756"
"5447";"65763"
"5448";"65749"
"5691";"65584"
"5693";"65582"
"2468";"65604"
"5694";"65541"
"5695";"65583"
"5696";"65577"
"5697";"65545"
"5698";"65538"
"5699";"65544"
"5700";"65581"
"5701";"65483"
"5702";"65600"
"5703";"65580"
"5704";"65484"
"5705";"65485"
"5706";"65482"
"5708";"65578"
"5709";"65539"
"5710";"65542"
"5711";"65602"
"5712";"65489"
"2389";"65601"
"5713";"65543"
"5714";"65579"
"5686";"65250"
"5687";"65255"
"5688";"65277"
"5718";"65619"
"5719";"65621"
"5720";"65622"
"5721";"65634"
"5722";"65632"
"5723";"65648"
"5724";"65608"
"2507";"65605"
"5730";"65757"
"5734";"65750"
"5735";"65739"
"5736";"65784"
"5737";"65741"
"5738";"65780"
"5739";"65770"
"5740";"65791"
"5741";"65747"
"5755";"65735"
"5756";"65925"
"5757";"65851"
"5758";"65921"
"5759";"65783"
"5760";"65917"
"5761";"65916"
"5762";"65781"
"5763";"65918"
"5753";"65852"
"5747";"65785"
"3868";"65765"
"5771";"65989"
"5772";"65991"
"5773";"65987"
"5774";"65990"
"5127";"28203"
