"1";"8891";"Agrochemie a výživa rostlin";"DAHX01Y";"40";"1806"
"1";"6825";"Aplikovaná meteorologie a klimatologie";"DAA01Y";"28";"124"
"1";"8825";"Biochemie";"DACX01Y";"39";"1949"
"1";"5879";"Dendrologie";"DAZA01Y";"41";"2107"
"1";"8126";"Fyziologie rostlin pro doktorandy";"DABX02Y";"26";"1913"
"1";"8893";"Fyziologie živočichů";"DAVX03Y";"34";"2078"
"1";"8849";"Hodnocení jakosti rostlinných produktů";"DARA01Y";"29";"790"
"1";"8820";"Chemie přírodních látek";"DACA04Y";"39";"1943"
"1";"8856";"Kvalita živočišných produktů";"DADA04Y";"101";"2341"
"1";"5917";"Květinářství";"DAZA02Y";"41";"2107"
"1";"8874";"Mikrobiologie FYTO";"DAMA01Y";"44";"1999"
"1";"8876";"Mikrobiologie ZOO";"DAMA02Y";"44";"1999"
"1";"8899";"Molekularni genetika";"DAGA04Y";"42";"1988"
"1";"8901";"Molekularní genetika speciální";"DAGA07Y";"42";"1988"
"1";"5913";"Ovocnictví";"DAZA05Y";"41";"2112"
"1";"5915";"Sadovnictví";"DAZA03Y";"41";"2107"
"1";"8823";"Speciální analytická chemie";"DACA05Y";"39";"1938"
"1";"8831";"Speciální biochemie rostlin";"DACX02Y";"39";"1949"
"1";"8833";"Speciální biochemie živočichů";"DACX03Y";"39";"1953"
"1";"8851";"Speciální pedologie";"DAPA02Y";"27";"1539"
"1";"5911";"Zelinářství";"DAZA04Y";"41";"2112"
"2";"8089";"Ekologie v TS";"DIRI10Y";"61";"1560"
"2";"8355";"Ekology in TS";"DIRI10";"61";"1560"
"2";"8091";"Explantátové kultury";"DIRI17Y";"61";"2332"
"2";"7175";"Chov drůbeže v TS";"DIZI04Y";"58";"2346"
"2";"7181";"Chov koz v TS";"DIZI10Y";"58";"2348"
"2";"7179";"Chov ovcí v TS";"DIZI09Y";"58";"2348"
"2";"7177";"Chov prasat v TS";"DIZI05Y";"58";"2346"
"2";"7169";"Obecná produkce rostlinná v TS";"DIRI01Y";"61";"1560"
"2";"7159";"Rostlinná výroba v tropech a subtropech";"DIRI13Y";"61";"2332"
"2";"7163";"Speciální produkce rostlinnáv tropech a subtropech";"DIRI02Y";"61";"2332"
"2";"7183";"Speciální zootechnika v TS";"DIZI01Y";"58";"1565"
"2";"7167";"Šlechtění rostlin a semenářství v tropecha a subtropech";"DIRI16Y";"61";"2332"
"2";"7187";"Výroba krmných směsí v TS";"DIZI06Y";"58";"2342"
"2";"7185";"Výživa a krmení hospodářských zvířat v TS";"DIZI03Y";"58";"2342"
"3";"7060";"Anatomie a fyziologie d-eva";"DLDX13Y";"46";"4491"
"3";"7076";"Anatomie a fyziologie lesních dřevin";"DLDX12Y";"46";"4491"
"3";"7362";"ANATOMIE DŘEVA";"DLTX60Y";"98";"178"
"3";"7074";"Anatomie lesních dřevin";"DLDX11Y";"46";"4491"
"3";"7304";"Aplikovaná statistika";"DLHX12Y";"47";"2201"
"3";"7229";"Biomonitoring";"DLEX17Y";"45";"2174"
"3";"7249";"Botanika obecn-";"DLEX21Y";"45";"121"
"3";"7257";"Botanika speciální";"DLEX22Y";"45";"121"
"3";"7403";"CAD - využití počítačů";"DLSX08Y";"51";"2309"
"3";"7389";"Dendrochronologie";"DLHX04Y";"47";"2202"
"3";"6879";"Dendrologie lesnická";"DLDX15Y";"46";"2651"
"3";"7299";"Dendrometrie";"DLHX02Y";"47";"2202"
"3";"7152";"Dřeviny v rámci systému rostlin";"DLDX19Y";"46";"2651"
"3";"7103";"Ekologické aplikace v krajině";"DLUX05Y";"63";"2271"
"3";"7190";"Ekologické zátěže";"DLEX45Y";"45";"115"
"3";"7282";"Ekologie";"DLEX12Y";"45";"2184"
"3";"7196";"Ekologie hmyzu";"DLEX35Y";"45";"2180"
"3";"7094";"Ekologie lesa";"DLPL01Y";"53";"2221"
"3";"7226";"Ekologie mokřadů";"DLEX16Y";"45";"2174"
"3";"7851";"Ekologie pro AF";"DLEA51Y";"45";"2184"
"3";"7293";"Ekologie ptáků";"DLEX36Y";"45";"2184"
"3";"7325";"Ekologie rostlin";"DLEX24Y";"45";"2179"
"3";"7243";"Ekologie savců";"DLEX37Y";"45";"2174"
"3";"7224";"Ekologie stanovi-˙";"DLEX14Y";"45";"2174"
"3";"7291";"Ekologie živočLichů";"DLEX34Y";"45";"2184"
"3";"7313";"Ekonometrie";"DLRX01Y";"55";"2196"
"3";"7383";"Ekonomika";"DLRX02Y";"55";"109"
"3";"7311";"Ekonomika lesního hospodářství";"DLRX04Y";"55";"109"
"3";"7309";"Ekonomika životního prostředí";"DLRX05Y";"55";"109"
"3";"7194";"Entomologie";"DLEX33Y";"45";"2180"
"3";"7081";"Fytocenologie a typologie";"DLDX16Y";"46";"2171"
"3";"7078";"Fyziologie lesních dřevin";"DLDX18Y";"46";"4491"
"3";"7082";"Geobiocenologie";"DLDX20Y";"46";"2171"
"3";"7259";"Geobotanika";"DLEX23Y";"45";"121"
"3";"7358";"Geografické informační systémy";"DLBX41Y";"50";"2154"
"3";"7301";"Hospodářská úprava lesů";"DLHX01Y";"47";"927"
"3";"7217";"Hydroinformatika";"DLSX06Y";"51";"2309"
"3";"7062";"Hydrologie a hydraulika";"DLVX01Y";"49";"2228"
"3";"7068";"Hydrologie a hydraulika";"DLVX02Y";"49";"2228"
"3";"7393";"CHEMIE DŘEVA";"DLTX61Z";"98";"178"
"3";"7101";"Krajinn- ekologie";"DLUX01Y";"63";"2272"
"3";"7220";"Lesní dopravnictví";"DLTX63Y";"48";"2208"
"3";"7387";"LESNÍ PŘIDRUŽENÁ VÝROBA";"DLTX65Y";"98";"178"
"3";"7222";"Lesní těžba";"DLTX64Y";"48";"2208"
"3";"6881";"Lesnick- botanika";"DLDX14Y";"46";"2163"
"3";"7371";"Lesnick- mechanizace";"DLTX56Y";"48";"2209"
"3";"7307";"Lesnick- politika";"DLRX07Y";"55";"2195"
"3";"7379";"Lesnická a zemědělská ekonomika";"DLRX06Y";"55";"109"
"3";"7381";"Lesnická ekonomika";"DLRX03Y";"55";"109"
"3";"7121";"Lesnická genetika a šlechtění lesních dřevin";"DLDX17Y";"46";"2311"
