"8851";"DAPA02Y";"Speciální pedologie";"Advanced Soil Science";"27";"1539"
"11189";"DAPX10Y";"Rozšířené modelování v pedologii";"Advanced Modeling in Soil Science";"27";"2032"
"11192";"DAHA02Y";"Environmentální biogeochemie";"Environmental biogeochemistry";"40";"2943"
"11198";"DAAA05Y";"Ochrana ovzduší";"Environmentální biogeochemie";"28";"905"
"11202";"DAPA07Y";"Pokročilá půdní fyzika";"Advanced Soil Physics";"27";"2034"
"11205";"DACA01Y";"Speciální metody analytické";"Special Analytical Methods";"39";"1938"
"11226";"DAPA09Y";"Geostatistika a její aplikace";"Geostatistics with Applications";"27";"2026"
"11232";"DAHA03Y";"Toxikologie a remediace";"Toxicology and Remediation";"40";"1931"
"11244";"DAEA05Y";"Biomonitoring";"Biomonitoring";"36";"2116"
"11257";"DAHA01Y";"Nakládání s odpady a odpadní vodou";"Waste and Waste water handling";"40";"2646"
"11540";"DAPA11Y";"Klasifikace půd";"Soil Classification";"27";"2035"
"11560";"DAPA08Y";"Pokročilá půdní chemie";"Advanced Soil Chemistry";"27";"1539"
"11603";"DAHA04Y";"Obnovitelné zdroje energie";"Environmentální biogeochemie";"40";"4475"
"12476";"DAMA03Y";"Mikrobiologie prostředí";"Environmental Microbiology";"44";"1999"
