"id_predmet";"kod";"nazev"
"396";"DEEE11";"Regional economics                                                                            "
"846";"DEIX01Y";"Database Systems                                                                                  "
"1167";"DELX01Y   ";"English - PhD course B 2                                                                               "
"1169";"DELX05Y   ";"German  - PhD course B 2                                                                             "
"1170";"DELX03Y   ";"French  - PhD course  - B 2                                                                               "
"1172";"DELX04Y   ";"Italian  - PhD course B 2                                                                             "
"1174";"DELX07Y";"Spanish - PhD study B 2                                                                               "
"1175";"DELX06Y   ";"Russian  - PhD course B 2                                                                              "
"1176";"DELX02Y   ";"Czech  - PhD course B 2                                                                                "
"1603";"DEEE08Y";"Agrarian policy - for doctoral study                                                                "
"1604";"DEEE07Y";"Econometrics - Quantitative methods for doctoral branch Branch and business economy                 "
"1610";"DEEE01Y";"Economy for doctoral branch Management                                                              "
"1630";"DEIE05Y   ";"Mathematical Theory of Programms                                                                    "
"1840";"DERE05Y";"Marketing Management                                                                                "
"1842";"DERE09Y   ";"Prognostics and Planning                                                                            "
"1915";"DEIE06Y   ";"Measurement and rating of the information systems quality                                           "
"1939";"DEEE06Y";"Economics of product verticals                                                                      "
"1949";"DESE05Y   ";"Computing Statistics                                                                                "
"1950";"DESE11Y   ";"Statistical Multivariate Methods                                                                    "
"1952";"DESE14Y   ";"Statistical Procedures SAS (for AF)                                                                 "
"1953";"DESE08Y   ";"Socioeconomic Statistics                                                                            "
"1957";"DESE10Y   ";"Categorial Data Analysis                                                                           "
"1960";"DERE07Y";"MANAGEMENT CONSULTING                                                                               "
"1975";"DERE06Y   ";"Personnel management                                                                                "
"1976";"DERE04Y   ";"Communication in management                                                                         "
"1984";"DEEE04Y";"ECONOMICS for doctoral study of branch Informational management                                     "
"1992";"DEEE05Y";"ECONOMICS - doctoral study of branch Branch and business economics                                  "
"1995";"DEEE10Y";"MATHEMATICAL ECONOMY for doctoral branch System engineering                                         "
"2004";"DERE11Y   ";"MANAGEMENT THEORY                                                                                   "
"2005";"DERX03Y   ";"MANAGEMENT AND MARKETING                                                                            "
"2018";"DESE07Y   ";"Statistical Methods in Management                                                                   "
"2020";"DESE06Y   ";"Statistical Techniques  for Questionnaire Processing                                                "
"2034";"DENE05Y   ";"Macroeconomics                                                                                      "
"2040";"DENE04Y   ";"Microeconomics                                                                                      "
"2049";"DENE02Y   ";"Economic policies                                                                                   "
"2052";"DERE10Y   ";"Strategic Management                                                                                "
"2062";"DEEE09Y";"Economics and politics of environment of life                                                       "
"2073";"DERE08Y";"Business Operation and Economics                                                                    "
"2075";"DENE03Y   ";"International Economics                                                                             "
"2092";"DEEE03Y";"Investment and Long-term financing - doctoral study                                                 "
