"idPredmet";"vysledek";"zkouskove_otazky";"idClovek";"termin";"datum_terminu";"mistnost";"zacatek";"idClovekPrvniZkousejici";"idClovekDruhyZkousejici";"semestrSplneni"
"7285";"S";"";"3779";"-1";"2001-04-27 00:00:00.0";"";"";"-1";"-1";"1"
"1382";"S";"";"3834";"-1";"2001-06-25 00:00:00.0";"";"";"-1";"-1";"1"
"1391";"S";"";"3834";"-1";"2001-11-22 00:00:00.0";"";"";"-1";"-1";"1"
"8955";"S";"";"3779";"-1";"2001-06-14 00:00:00.0";"";"";"-1";"-1";"2"
"";"U";"";"3779";"-1";"2001-05-30 00:00:00.0";"";"";"-1";"-1";"2"
"1133";"S";"";"2004";"-1";"2001-03-01 00:00:00.0";"";"";"-1";"-1";"1"
"7285";"S";"";"2004";"-1";"2001-02-15 00:00:00.0";"";"";"-1";"-1";"1"
"1393";"S";"";"2004";"-1";"2002-11-19 00:00:00.0";"";"";"-1";"-1";"1"
"5795";"S";"";"2004";"-1";"2001-07-19 00:00:00.0";"";"";"-1";"-1";"2"
"8955";"S";"";"2004";"-1";"2001-06-14 00:00:00.0";"";"";"-1";"-1";"2"
"8975";"S";"";"2004";"-1";"2001-06-21 00:00:00.0";"";"";"-1";"-1";"2"
"";"S";"";"2900";"-1";"2000-03-20 00:00:00.0";"";"";"-1";"-1";"1"
"8820";"S";"";"2900";"-1";"2000-06-14 00:00:00.0";"";"";"-1";"-1";"1"
"1391";"S";"";"2900";"-1";"2000-12-15 00:00:00.0";"";"";"-1";"-1";"1"
"8825";"S";"";"2900";"-1";"2000-06-20 00:00:00.0";"";"";"-1";"-1";"2"
"1382";"S";"";"3849";"-1";"2001-10-04 00:00:00.0";"";"";"-1";"-1";"1"
"8991";"S";"";"3849";"-1";"2001-10-26 00:00:00.0";"";"";"-1";"-1";"1"
"1393";"S";"";"3849";"-1";"2002-06-18 00:00:00.0";"";"";"-1";"-1";"1"
"8899";"S";"";"3849";"-1";"2001-08-17 00:00:00.0";"";"";"-1";"-1";"1"
"";"S";"";"3811";"-1";"2000-07-19 00:00:00.0";"";"";"-1";"-1";"1"
"1393";"S";"";"3811";"-1";"2003-10-14 00:00:00.0";"";"";"-1";"-1";"1"
"1133";"S";"";"3811";"-1";"2000-04-25 00:00:00.0";"";"";"-1";"-1";"2"
"8971";"S";"";"3811";"-1";"2000-07-03 00:00:00.0";"";"";"-1";"-1";"2"
"8972";"S";"";"3811";"-1";"2000-06-28 00:00:00.0";"";"";"-1";"-1";"2"
"";"S";"";"3811";"-1";"2000-12-31 00:00:00.0";"";"";"-1";"-1";"3"
