"idPredmet";"vysledek";"zkouskove_otazky";"idClovek";"termin";"datum_terminu";"mistnost";"zacatek";"idClovekPrvniZkousejici";"idClovekDruhyZkousejici";"semestrSplneni"
"7285";"S";"(null)";"3779";"-1";"27.4.2001 0:00";"(null)";"(null)";"-1";"-1";"1"
"1382";"S";"(null)";"3834";"-1";"25.6.2001 0:00";"(null)";"(null)";"-1";"-1";"1"
"1391";"S";"(null)";"3834";"-1";"22.11.2001 0:00";"(null)";"(null)";"-1";"-1";"1"
"8955";"S";"(null)";"3779";"-1";"14.6.2001 0:00";"(null)";"(null)";"-1";"-1";"2"
"(null)";"U";"(null)";"3779";"-1";"30.5.2001 0:00";"(null)";"(null)";"-1";"-1";"2"
"1133";"S";"(null)";"2004";"-1";"1.3.2001 0:00";"(null)";"(null)";"-1";"-1";"1"
"7285";"S";"(null)";"2004";"-1";"15.2.2001 0:00";"(null)";"(null)";"-1";"-1";"1"
"1393";"S";"(null)";"2004";"-1";"19.11.2002 0:00";"(null)";"(null)";"-1";"-1";"1"
"5795";"S";"(null)";"2004";"-1";"19.7.2001 0:00";"(null)";"(null)";"-1";"-1";"2"
"8955";"S";"(null)";"2004";"-1";"14.6.2001 0:00";"(null)";"(null)";"-1";"-1";"2"
"8975";"S";"(null)";"2004";"-1";"21.6.2001 0:00";"(null)";"(null)";"-1";"-1";"2"
"(null)";"S";"(null)";"2900";"-1";"20.3.2000 0:00";"(null)";"(null)";"-1";"-1";"1"
"8820";"S";"(null)";"2900";"-1";"14.6.2000 0:00";"(null)";"(null)";"-1";"-1";"1"
"1391";"S";"(null)";"2900";"-1";"15.12.2000 0:00";"(null)";"(null)";"-1";"-1";"1"
"8825";"S";"(null)";"2900";"-1";"20.6.2000 0:00";"(null)";"(null)";"-1";"-1";"2"
"1382";"S";"(null)";"3849";"-1";"4.10.2001 0:00";"(null)";"(null)";"-1";"-1";"1"
"8991";"S";"(null)";"3849";"-1";"26.10.2001 0:00";"(null)";"(null)";"-1";"-1";"1"
"1393";"S";"(null)";"3849";"-1";"18.6.2002 0:00";"(null)";"(null)";"-1";"-1";"1"
"8899";"S";"(null)";"3849";"-1";"17.8.2001 0:00";"(null)";"(null)";"-1";"-1";"1"
